"MEDV";"CHAS";"variable";"value";"density"
24;"0";"LSTAT";4,98;0,00206738506957015
21,6;"0";"LSTAT";9,14;0,0023137934150272
34,7;"0";"LSTAT";4,03;0,00044869156360131
33,4;"0";"LSTAT";2,94;0,000489764567598628
28,7;"0";"LSTAT";5,21;0,000729465712981016
27,1;"0";"LSTAT";19,15;0,000273513889051
16,5;"0";"LSTAT";29,93;0,000161012104721126
15;"0";"LSTAT";20,45;0,000542635542059066
18,9;"0";"LSTAT";13,27;0,00180887193643847
21,7;"0";"LSTAT";15,71;0,00107535801275655
20,4;"0";"LSTAT";8,26;0,00224670582529681
19,9;"0";"LSTAT";8,47;0,00214974349579406
23,1;"0";"LSTAT";6,58;0,00228135275415539
17,5;"0";"LSTAT";14,67;0,000673094856429483
20,2;"0";"LSTAT";11,69;0,00224670582529681
18,2;"0";"LSTAT";11,28;0,00160512954337927
13,6;"0";"LSTAT";21,02;0,000499665917502476
19,6;"0";"LSTAT";13,83;0,00214974349579406
15,2;"0";"LSTAT";18,72;0,000542635542059066
14,5;"0";"LSTAT";19,88;0,000544823358532196
15,6;"0";"LSTAT";16,3;0,000543381855498535
13,9;"0";"LSTAT";16,51;0,00053031897850133
16,6;"0";"LSTAT";14,81;0,000581322794594397
14,8;"0";"LSTAT";17,28;0,000546257387588109
18,4;"0";"LSTAT";12,8;0,00160512954337927
21;"0";"LSTAT";11,98;0,00230948155308625
12,7;"0";"LSTAT";22,6;0,00057792394521337
14,5;"0";"LSTAT";13,04;0,000973043340503366
13,2;"0";"LSTAT";27,71;0,000687250117029818
13,1;"0";"LSTAT";18,35;0,000455658145792062
13,5;"0";"LSTAT";20,34;0,000499665917502476
21;"0";"LSTAT";8,77;0,00230948155308625
24,7;"0";"LSTAT";10,13;0,00175734806581213
30,8;"0";"LSTAT";4,32;0,000592637468253443
34,9;"0";"LSTAT";1,98;0,00044869156360131
26,6;"0";"LSTAT";4,84;0,000746730232693709
25,3;"0";"LSTAT";5,81;0,00133657568409857
21,2;"0";"LSTAT";9,55;0,00230948155308625
19,3;"0";"LSTAT";10,21;0,00199915345046249
20;"0";"LSTAT";14,15;0,00224670582529681
14,4;"0";"LSTAT";30,81;0,000209907870643798
19,4;"0";"LSTAT";16,2;0,000986612150693112
19,7;"0";"LSTAT";13,45;0,00214974349579406
25;"0";"LSTAT";5,28;0,00133657568409857
18,9;"0";"LSTAT";14,8;0,000904208452344374
35,4;"0";"LSTAT";4,81;0,00043583861312537
24,7;"0";"LSTAT";5,77;0,00161306662991766
31,6;"0";"LSTAT";3,95;0,000528287087854167
23,3;"0";"LSTAT";6,86;0,0022030365204223
19,6;"0";"LSTAT";9,22;0,00214974349579406
18,7;"0";"LSTAT";13,15;0,00180887193643847
16;"0";"LSTAT";14,44;0,000555410414983514
22,2;"0";"LSTAT";6,73;0,00234339670442451
25;"0";"LSTAT";9,5;0,00147188411849444
33;"0";"LSTAT";8,05;0,000510422603826513
23,5;"0";"LSTAT";4,67;0,0022030365204223
19,4;"0";"LSTAT";10,24;0,00199915345046249
22;"0";"LSTAT";8,1;0,00232016700858237
17,4;"0";"LSTAT";13,09;0,00125499550099752
20,9;"0";"LSTAT";8,79;0,00229404389210671
24,2;"0";"LSTAT";6,72;0,00186695822811135
21,7;"0";"LSTAT";9,88;0,0023137934150272
22,8;"0";"LSTAT";5,52;0,00228135275415539
21,4;"0";"LSTAT";8,94;0,0023137934150272
20;"0";"LSTAT";11,97;0,00224670582529681
20,8;"0";"LSTAT";10,27;0,00229404389210671
21,2;"0";"LSTAT";12,34;0,00230948155308625
28;"0";"LSTAT";5,29;0,000691477693601875
23,9;"0";"LSTAT";7,22;0,00218011641360152
24,8;"0";"LSTAT";6,72;0,00161306662991766
22,9;"0";"LSTAT";7,51;0,00232332401846452
23,9;"0";"LSTAT";9,62;0,00218011641360152
26,6;"0";"LSTAT";6,53;0,000746730232693709
22,5;"0";"LSTAT";12,86;0,00232814386742467
23,6;"0";"LSTAT";5,5;0,0022030365204223
28,7;"0";"LSTAT";5,7;0,000729465712981016
22,6;"0";"LSTAT";8,81;0,00232814386742467
22;"0";"LSTAT";8,2;0,00232016700858237
25;"0";"LSTAT";6,21;0,00133657568409857
20,6;"0";"LSTAT";10,59;0,00229404389210671
28,4;"0";"LSTAT";6,65;0,000715516599903358
21,4;"0";"LSTAT";11,34;0,0023137934150272
38,7;"0";"LSTAT";4,21;0,000165849311199993
43,8;"0";"LSTAT";3,57;0,000212169750684547
33,2;"0";"LSTAT";6,19;0,000489764567598628
27,5;"0";"LSTAT";9,42;0,000696098426112171
26,5;"0";"LSTAT";7,67;0,000804315606216073
18,6;"0";"LSTAT";10,63;0,00160512954337927
20,1;"0";"LSTAT";12,33;0,00224670582529681
